transaction_id,batch_id,product_name,manufacturer_id,distributor_id,pharmacy_id,transaction_type,transaction_date,quantity,unit_price,manufacture_date,expiry_date,days_to_expiry,storage_temp_avg,storage_temp_deviation,temp_excursion_flag,origin_location,destination_location,distance_km,transit_time_hours,expected_transit_hours,delay_hours,delay_flag,demand_zone,population_density,disease_index,promotion_flag,inventory_level,reorder_point,stockout_risk,waste_flag,waste_quantity,profit_margin,financial_cost,performance_score
598686,B598686,Atorvastatin,M003,D002,P002,returned,45554,467,18.95,2023-12-28,2026-12-27,829,22.08,0.6,False,LOC12,LOC14,35.17,2.94,3.11,0.0,False,South,980.87,7.58,0,561,221,0,False,0,0.443065,0.0,0.97
361361,B361361,Levothyroxine,M002,D001,P003,sold,44808,83,10.9,2021-11-16,2023-11-16,438,-0.02,0.47,True,LOC10,LOC12,355.62,8.1,8.85,0.0,False,North,804.8,5.64,0,699,276,0,False,0,0.207308,0.0,0.77
790771,B790771,Ibuprofen,M001,D003,P002,sold,45047,29,7.43,2022-12-23,2025-12-22,966,23.34,0.8,False,LOC9,LOC8,495.74,8.49,9.36,0.0,False,South,945.44,3.71,1,1117,389,0,False,0,0.244168,0.0,1.0
327131,B327131,Lisinopril,M001,D002,P004,sold,44768,298,10.28,2021-08-28,2024-08-27,763,23.67,1.33,False,LOC13,LOC7,397.09,7.82,7.02,0.8,True,South,161.36,9.57,0,1226,426,0,False,0,0.11616,0.0,0.88
150371,B150371,Amoxicillin,M002,D003,P003,transfer,45370,400,13.5,2023-09-20,2025-09-19,549,3.59,0.19,False,LOC10,LOC9,20.0,18.84,1.29,17.55,True,East,462.81,5.13,1,281,133,0,False,0,0.359451,0.0,0.87
118386,B118386,Lisinopril,M001,D003,P001,sold,45200,270,11.02,2023-05-20,2026-05-19,961,24.16,0.71,False,LOC15,LOC10,438.08,7.76,8.69,0.0,False,East,675.72,8.51,0,613,246,0,False,0,0.147139,0.0,0.97
674291,B674291,Lisinopril,M003,D002,P003,transfer,45355,337,7.63,2023-04-30,2026-04-29,786,18.45,1.48,False,LOC1,LOC11,168.89,5.24,5.46,0.0,False,West,471.78,1.03,0,516,221,0,False,0,0.293562,0.0,0.98
882091,B882091,Atorvastatin,M002,D003,P002,sold,44792,138,19.58,2022-05-11,2025-05-10,995,17.92,1.62,False,LOC15,LOC5,454.66,7.84,8.81,0.0,False,West,316.69,1.33,0,575,344,0,False,0,0.484736,0.0,1.0
662336,B662336,Aspirin,M002,D001,P001,received,45059,287,12.99,2022-08-28,2025-08-27,837,18.19,1.29,False,LOC7,LOC11,378.34,7.36,7.27,0.0,False,South,975.11,7.49,1,562,257,0,False,0,0.143434,0.0,1.0
20411,B020411,Aspirin,M003,D003,P003,manufactured,44826,864,11.8,2022-03-27,2025-03-26,916,26.26,2.81,False,LOC8,LOC17,53.68,1.9,2.13,0.0,False,North,973.51,6.89,0,533,317,0,False,0,0.163493,0.0,1.0
372281,B372281,Ibuprofen,M001,D001,P002,transfer,44829,298,5.4,2022-02-05,2025-02-04,863,27.35,0.79,False,LOC5,LOC14,421.1,9.12,9.96,0.0,False,South,459.24,1.58,0,550,261,0,False,0,0.213775,0.0,1.0
